Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen,Otwarcie_hg,Najwyzszy_hg,Najnizszy_hg,Zamkniecie_hg,Wolumen_hg,LOP,Otwarcie_btcusd_d,Najwyzszy_btcusd_d,Najnizszy_btcusd_d,Zamkniecie_btcusd_d,Otwarcie_swig80_d,Najwyzszy_swig80_d,Najnizszy_swig80_d,Zamkniecie_swig80_d,Wolumen_swig80_d,Otwarcie_ndq_d,Najwyzszy_ndq_d,Najnizszy_ndq_d,Zamkniecie_ndq_d,Wolumen_ndq_d,Otwarcie_gbpeur_d,Najwyzszy_gbpeur_d,Najnizszy_gbpeur_d,Zamkniecie_gbpeur_d,Otwarcie_jpypln_d,Najwyzszy_jpypln_d,Najnizszy_jpypln_d,Zamkniecie_jpypln_d,Otwarcie_usdpln_d,Najwyzszy_usdpln_d,Najnizszy_usdpln_d,Zamkniecie_usdpln_d,Otwarcie_chfpln_d,Najwyzszy_chfpln_d,Najnizszy_chfpln_d,Zamkniecie_chfpln_d,Otwarcie_wig_d,Najwyzszy_wig_d,Najnizszy_wig_d,Zamkniecie_wig_d,Wolumen_wig_d,Otwarcie_spx_d,Najwyzszy_spx_d,Najnizszy_spx_d,Zamkniecie_spx_d,Wolumen_spx_d,Otwarcie_mwig40_d,Najwyzszy_mwig40_d,Najnizszy_mwig40_d,Zamkniecie_mwig40_d,Wolumen_mwig40_d,Otwarcie_gbppln_d,Najwyzszy_gbppln_d,Najnizszy_gbppln_d,Zamkniecie_gbppln_d,Otwarcie_ftse250_d,Najwyzszy_ftse250_d,Najnizszy_ftse250_d,Zamkniecie_ftse250_d,Wolumen_ftse250_d,Otwarcie_eurpln_d,Najwyzszy_eurpln_d,Najnizszy_eurpln_d,Zamkniecie_eurpln_d,Otwarcie_dax_d,Najwyzszy_dax_d,Najnizszy_dax_d,Zamkniecie_dax_d,Wolumen_dax_d
2010-10-06,256.61,257.45,254.25,254.91,2434,372.23,378.5,372.0,375.85,29300.0,154453.0,0.0614,0.0635,0.0612,0.06281,12106.87,12143.56,12079.66,12096.93,9663515,2395.16,2399.13,2368.43,2380.66,1956534000,1.1486,1.1509,1.1397,1.1406,3.4238,3.4491,3.4042,3.4315,2.846,2.8652,2.8303,2.8438,2.948,2.9696,2.9246,2.9574,46080.91,46238.49,45908.45,45977.02,119073617.0,1159.81,1162.33,1154.85,1159.97,2262866667,2692.42,2721.41,2692.0,2715.54,21901654,4.529,4.5453,4.5025,4.5219,10681.96,10800.23,10681.11,10800.23,397532192.0,3.9391,3.9665,3.9212,3.9591,6248.81,6289.56,6242.52,6270.73,111931030.0
2010-10-07,255.09,255.66,251.61,251.61,4579,375.8,378.0,365.33,367.2,49792.0,154523.0,0.06281,0.067,0.0628,0.067,12100.15,12100.15,12042.6,12045.04,9466731,2391.63,2392.74,2368.25,2383.67,1717003200,1.1407,1.1451,1.1357,1.1406,3.434,3.486,3.4166,3.4824,2.8453,2.8743,2.8214,2.8671,2.9575,2.967,2.9358,2.9606,45881.51,45916.22,45455.05,45455.05,113424488.0,1161.57,1163.87,1151.41,1158.06,2172527778,2714.39,2716.35,2690.91,2695.3,26270376,4.5135,4.5588,4.494,4.551,10800.24,10833.27,10742.41,10765.62,380740800.0,3.9617,3.9843,3.9499,3.9793,6278.61,6321.79,6233.14,6276.25,97564708.0
2010-10-08,252.46,253.12,250.1,250.1,492,367.85,379.68,365.5,378.0,49091.0,160567.0,0.067,0.088,0.067,0.08685,12060.01,12060.01,11985.15,12017.44,16196047,2384.76,2406.67,2370.53,2401.91,1860911400,1.1406,1.1477,1.1357,1.1448,3.4515,3.5035,3.4507,3.4738,2.8427,2.8795,2.8385,2.8459,2.9412,2.9763,2.9399,2.9612,45565.05,45640.65,45191.65,45227.66,84164466.0,1158.36,1167.73,1155.58,1165.15,2150788889,2691.55,2700.24,2685.93,2689.71,20045502,4.5108,4.5669,4.5067,4.5396,10765.8,10766.24,10696.68,10724.91,375923904.0,3.9603,3.9879,3.9586,3.9609,6269.48,6295.09,6239.43,6291.67,124534189.0
2010-10-11,250.54,251.98,250.5,251.32,1007,378.45,381.33,376.88,378.23,29412.0,158094.0,0.0965,0.103,0.091,0.095,12012.41,12038.18,11971.06,11980.76,13080862,2403.46,2413.03,2397.57,2402.33,1432190700,1.1394,1.1457,1.139,1.1444,3.4621,3.4796,3.4593,3.4692,2.8389,2.8562,2.8338,2.8456,2.9527,2.9705,2.9425,2.9517,45404.68,45532.45,45316.22,45454.91,70710048.0,1165.32,1168.68,1162.02,1165.32,1392166667,2694.38,2702.07,2686.95,2698.87,15307709,4.5227,4.5516,4.5146,4.5226,10724.95,10814.89,10724.53,10804.84,285179744.0,3.9649,3.978,3.9496,3.9517,6308.43,6325.31,6289.36,6309.51,79123953.0
2010-10-12,249.63,251.8,248.78,250.65,1222,378.13,380.9,371.4,379.88,41794.0,158917.0,0.095,0.099,0.082,0.0949,11984.36,11984.63,11946.01,11978.6,13151076,2397.7,2421.79,2379.39,2417.92,1823655600,1.1444,1.1495,1.1335,1.1357,3.5014,3.5145,3.4848,3.4857,2.865,2.8819,2.8496,2.8523,2.9669,2.9901,2.9593,2.9792,45258.17,45528.11,45181.64,45452.98,102844958.0,1164.28,1172.58,1155.71,1169.77,2264538889,2694.35,2697.71,2683.63,2696.55,15395890,4.5512,4.5643,4.5006,4.5032,10804.87,10804.87,10661.71,10753.56,293080928.0,3.9643,3.9726,3.9547,3.9549,6257.03,6316.77,6228.39,6304.57,99634254.0
2010-10-13,252.55,256.79,252.55,256.79,1076,379.98,383.63,378.53,381.75,35395.0,159719.0,0.0949,0.105,0.092,0.105,12021.41,12075.72,12019.46,12075.72,31645292,2432.55,2452.54,2426.52,2441.23,2133838500,1.1356,1.1394,1.1311,1.1384,3.4596,3.4696,3.4145,3.4169,2.8311,2.8405,2.7953,2.7968,2.9636,2.9725,2.9123,2.914,45713.04,46300.1,45698.18,46286.96,108080245.0,1171.32,1184.38,1171.32,1178.1,2760783333,2701.49,2715.15,2696.49,2714.33,17112393,4.4846,4.4993,4.4348,4.4415,10753.51,10902.0,10719.91,10902.0,379761632.0,3.9529,3.9614,3.8992,3.9023,6339.76,6456.27,6335.22,6434.52,148838890.0
2010-10-14,257.94,258.32,254.81,254.81,4867,381.65,386.3,376.93,380.73,37341.0,160061.0,0.105,0.105,0.102,0.102,12134.58,12145.82,12040.26,12084.47,13635180,2441.21,2445.85,2422.07,2435.38,1873522200,1.1384,1.1402,1.1336,1.1367,3.4131,3.4336,3.3964,3.4104,2.7717,2.7903,2.7599,2.7777,2.9128,2.9285,2.899,2.9165,46386.96,46440.96,46020.72,46079.69,78928238.0,1177.82,1178.89,1166.71,1173.81,2760783333,2715.68,2720.19,2701.45,2706.46,15402979,4.4298,4.4608,4.4133,4.4393,10901.64,10955.77,10875.84,10882.66,313231808.0,3.9016,3.9202,3.8881,3.9035,6446.32,6485.71,6445.32,6455.27,110051491.0
2010-10-15,256.09,256.1,252.64,252.64,13037,380.35,385.93,379.18,383.5,48780.0,162519.0,0.102,0.119,0.092,0.105,12084.4,12084.47,11979.42,12051.64,6012172,2461.7,2468.77,2438.03,2468.77,2076513300,1.1367,1.1466,1.1367,1.1442,3.4119,3.4356,3.398,3.4235,2.7735,2.797,2.7507,2.7835,2.9036,2.9226,2.8973,2.9096,46147.33,46147.96,45806.33,45806.33,77797967.0,1177.47,1181.2,1167.12,1176.19,3180505556,2707.25,2707.25,2695.18,2704.18,11325033,4.4412,4.4802,4.428,4.4593,10882.57,10906.33,10790.89,10833.51,331769216.0,3.8981,3.9172,3.8924,3.899,6478.0,6512.78,6438.78,6492.3,137125808.0
2010-10-18,253.8,255.75,253.08,254.43,453,382.78,387.53,377.45,384.83,34678.0,164917.0,0.102,0.103,0.097,0.1024,12033.68,12033.68,11959.78,12003.68,6378716,2470.12,2480.95,2462.55,2480.66,1603980300,1.1438,1.1489,1.137,1.1392,3.4675,3.4968,3.4501,3.4522,2.815,2.8414,2.8011,2.8029,2.9225,2.9459,2.9213,2.9318,45741.98,45946.7,45644.71,45858.88,166935482.0,1176.83,1185.53,1174.55,1184.71,2472250000,2691.26,2697.34,2682.58,2694.72,15250659,4.4818,4.5002,4.4576,4.4646,10833.74,10882.85,10777.89,10875.09,241067344.0,3.9065,3.9311,3.9011,3.9212,6465.83,6533.83,6462.59,6516.63,91058475.0
2010-10-19,254.34,255.76,249.25,249.72,2674,384.43,386.3,371.9,372.18,58255.0,162855.0,0.1024,0.1024,0.097,0.097,12015.39,12015.39,11873.76,11895.64,10940154,2442.21,2480.95,2422.14,2436.95,2084911200,1.1394,1.1444,1.1331,1.1429,3.4652,3.5201,3.4538,3.5173,2.8246,2.8792,2.8101,2.8676,2.9364,2.9578,2.9286,2.956,45820.68,45991.67,45133.87,45289.74,129038607.0,1178.64,1178.64,1159.71,1165.9,3111177778,2689.21,2695.18,2665.31,2665.58,21837946,4.4771,4.5227,4.4454,4.5102,10875.13,10916.54,10813.14,10826.21,320137888.0,3.9274,3.9647,3.9197,3.9591,6508.36,6544.79,6472.18,6490.69,101370609.0
2010-10-20,250.35,251.36,250.19,250.6,876,371.5,380.6,371.5,379.98,38406.0,165100.0,0.097,0.103,0.094,0.099,11847.37,11900.6,11819.17,11900.6,6453387,2443.2,2469.72,2441.07,2457.39,1875596100,1.1427,1.144,1.1334,1.1346,3.5362,3.5433,3.4849,3.4929,2.8775,2.8828,2.8236,2.8303,2.9739,2.9782,2.9425,2.9439,45172.51,45404.49,45074.58,45384.47,88937982.0,1166.74,1182.94,1166.74,1178.17,2793266667,2658.13,2672.38,2657.46,2670.19,10816180,4.5229,4.5282,4.4784,4.489,10826.19,10831.86,10754.79,10831.86,326191200.0,3.9613,3.972,3.9499,3.9513,6470.3,6527.85,6461.48,6524.55,95159747.0
2010-10-21,252.55,254.43,252.34,253.02,1159,378.85,384.53,376.25,376.7,48894.0,164431.0,0.099,0.109,0.097,0.107,11907.05,11907.84,11860.41,11903.81,6818485,2470.72,2482.14,2436.34,2459.67,1985996400,1.1344,1.1396,1.1226,1.1282,3.4995,3.5076,3.4641,3.5017,2.8393,2.8501,2.8081,2.8459,2.9407,2.9515,2.9161,2.9433,45552.51,45870.32,45500.56,45870.28,60639005.0,1179.82,1189.43,1171.17,1180.26,2569705556,2674.11,2679.74,2669.93,2677.84,10078056,4.484,4.4848,4.4287,4.4733,10832.04,10927.25,10811.3,10904.69,445086336.0,3.9512,3.9726,3.9395,3.9681,6514.99,6621.84,6504.66,6611.01,95687746.0
2010-10-22,253.26,253.26,251.18,252.55,4430,376.58,381.43,375.2,381.38,38457.0,164469.0,0.107,0.10901,0.1015,0.1025,11881.14,11909.37,11860.73,11909.37,9807431,2461.6,2479.39,2459.43,2479.39,1532807400,1.1285,1.1304,1.1239,1.1241,3.5071,3.5281,3.4902,3.4937,2.8451,2.8661,2.8361,2.8459,2.9404,2.9455,2.9063,2.9082,45665.29,45729.01,45479.47,45729.01,57179481.0,1180.52,1183.93,1178.99,1183.08,1765494444,2672.32,2679.79,2671.03,2676.68,10397764,4.4769,4.4895,4.4539,4.4621,10904.71,10931.86,10885.59,10894.73,328922176.0,3.9714,3.9755,3.9541,3.9614,6594.9,6623.94,6586.4,6605.84,67471092.0
2010-10-25,254.43,255.3,253.49,254.1,516,382.15,388.48,381.73,385.03,37582.0,166204.0,0.11501,0.19,0.09009,0.132,11913.95,11923.24,11884.84,11912.18,6034539,2491.62,2507.03,2490.11,2490.85,1624077600,1.1228,1.1282,1.1184,1.1271,3.4852,3.5029,3.4701,3.4876,2.8149,2.8227,2.7935,2.8149,2.9004,2.9047,2.884,2.8993,45952.23,46016.62,45843.35,45854.85,99650881.0,1184.74,1196.14,1184.74,1185.62,2345211111,2682.91,2714.57,2682.41,2709.4,25269575,4.4371,4.4431,4.396,4.428,10894.63,11010.18,10894.63,10978.14,304078304.0,3.9563,3.9595,3.9202,3.9292,6645.45,6668.54,6625.83,6639.21,75741985.0
2010-10-26,252.69,253.11,250.38,253.11,767,383.63,388.9,383.55,387.13,37632.0,167063.0,0.132,0.18,0.132,0.1503,11931.52,11931.52,11852.28,11885.18,4055821,2476.51,2503.03,2470.12,2497.29,1780345500,1.1271,1.1456,1.1262,1.1433,3.4848,3.4977,3.4662,3.4825,2.8117,2.8447,2.8097,2.8343,2.8958,2.9048,2.8759,2.8793,45780.47,45780.47,45512.27,45756.17,75988414.0,1184.88,1187.11,1177.72,1185.64,2335377778,2716.41,2724.91,2710.63,2724.91,19865544,4.4286,4.5112,4.4262,4.4875,10978.03,10993.88,10901.28,10940.72,328155616.0,3.9275,3.9393,3.9237,3.9283,6634.24,6645.7,6580.28,6613.8,95124437.0
2010-10-27,253.39,255.85,252.07,254.17,20070,388.83,388.9,375.8,377.63,45326.0,164799.0,0.1503,0.19,0.1503,0.1877,11877.87,11930.85,11853.53,11930.85,5373637,2484.09,2505.35,2478.01,2503.26,1872313200,1.1434,1.1477,1.1424,1.1456,3.4865,3.5362,3.4802,3.5266,2.85,2.8849,2.8423,2.8783,2.8906,2.9121,2.8771,2.9083,45727.75,46150.96,45662.45,46059.42,123094566.0,1183.84,1183.84,1171.7,1182.45,2408705556,2732.31,2758.35,2727.86,2758.35,32586098,4.5123,4.5489,4.5042,4.5349,10940.79,10940.79,10827.28,10827.28,309477248.0,3.9386,3.9699,3.9347,3.9641,6591.24,6629.13,6553.25,6568.0,117914523.0
2010-10-28,255.28,255.85,254.43,254.43,132,377.55,382.53,376.65,378.23,37956.0,164464.0,0.1877,0.191,0.1731,0.1731,11929.34,11929.7,11886.42,11928.2,5623539,2516.16,2516.2,2489.76,2507.37,1858456200,1.1455,1.1488,1.1401,1.1444,3.5066,3.5379,3.5028,3.524,2.8616,2.8765,2.8467,2.855,2.8963,2.9181,2.8898,2.9075,46182.42,46263.25,46001.6,46026.3,114496782.0,1184.47,1189.53,1177.1,1183.78,2379700000,2770.63,2772.87,2748.44,2759.42,47132298,4.5228,4.5622,4.5043,4.5455,10827.29,10895.09,10813.42,10848.83,281132256.0,3.9563,3.9761,3.9499,3.9758,6600.28,6644.61,6576.02,6595.28,104323091.0
2010-10-29,254.03,254.03,253.19,253.77,163,377.95,378.25,369.93,374.1,40952.0,161220.0,0.1731,0.19,0.173,0.19,11955.63,12003.8,11931.66,12003.8,10411889,2505.99,2517.5,2505.86,2507.41,1923891000,1.1444,1.1534,1.1439,1.1501,3.5519,3.5804,3.5249,3.5359,2.8656,2.8931,2.8443,2.8462,2.9079,2.9252,2.8901,2.8946,46065.88,46229.6,45888.5,46229.6,84684083.0,1183.87,1185.46,1179.7,1183.26,1965488889,2763.34,2768.36,2749.78,2768.36,16490582,4.5652,4.6014,4.5421,4.5598,10848.91,10860.9,10791.88,10843.5,269564960.0,3.9761,3.9977,3.958,3.9602,6585.97,6630.98,6569.25,6601.37,93680308.0
2010-11-02,255.38,258.48,255.38,257.39,547,378.38,383.63,376.7,382.15,29497.0,163209.0,0.1955,0.1955,0.1905,0.1938,12023.95,12047.89,12004.75,12044.74,13743280,2525.94,2534.88,2518.29,2533.52,1780931400,1.1548,1.1556,1.1404,1.1427,3.526,3.5275,3.4743,3.4813,2.8432,2.8448,2.8037,2.81,2.8716,2.8883,2.8594,2.8717,46334.42,46694.75,46315.6,46575.68,77469312.0,1187.86,1195.88,1187.86,1193.57,2147888889,2765.26,2778.98,2764.02,2770.87,22036268,4.5674,4.57,4.4957,4.5032,10875.28,10927.5,10862.45,10927.5,260027296.0,3.9621,3.9634,3.9406,3.9455,6600.41,6668.93,6597.46,6654.31,71574419.0
2010-11-03,257.73,258.2,256.07,256.07,245,382.25,384.43,375.98,382.83,44851.0,163713.0,0.1938,0.275,0.1931,0.1931,12027.73,12031.68,11986.02,12022.02,11102862,2532.83,2541.42,2511.31,2540.27,1851081300,1.1429,1.1498,1.1373,1.1399,3.4893,3.4927,3.4368,3.4433,2.8143,2.8154,2.7914,2.7952,2.867,2.8769,2.8527,2.8621,46630.3,46668.8,46416.84,46416.84,81558411.0,1193.79,1198.3,1183.56,1197.96,2591933333,2777.14,2779.33,2763.28,2765.5,24992308,4.5065,4.5195,4.4895,4.4961,10927.46,10941.83,10874.41,10876.28,337266048.0,3.9405,3.9453,3.9237,3.9258,6666.07,6682.91,6604.75,6617.8,82909581.0
2010-11-04,259.15,261.04,259.15,260.99,1469,381.8,391.28,381.53,390.4,50226.0,171817.0,0.1931,0.23601,0.1931,0.23,12049.1,12092.43,12034.43,12092.43,9406376,2569.27,2579.62,2564.05,2577.34,2317606500,1.1397,1.1469,1.1341,1.1446,3.4204,3.4321,3.379,3.4087,2.7644,2.7778,2.7261,2.7502,2.8477,2.8696,2.822,2.8682,46686.36,47189.05,46686.36,47066.4,100294122.0,1198.34,1221.25,1198.34,1221.06,3164150000,2779.1,2787.22,2769.34,2770.32,32378688,4.4616,4.4763,4.425,4.4711,10876.25,11026.2,10876.25,11016.46,441151360.0,3.9073,3.9203,3.8894,3.9021,6677.78,6757.29,6676.42,6734.69,130036953.0
2010-11-05,261.62,262.92,260.28,262.27,4370,392.0,399.13,391.35,397.0,50227.0,169144.0,0.23,0.2639,0.2101,0.26,12123.29,12161.41,12075.93,12161.41,9471487,2577.63,2582.18,2568.78,2578.98,1946350500,1.1446,1.1556,1.1394,1.1534,3.4081,3.4484,3.3957,3.4243,2.7532,2.7894,2.7415,2.7861,2.8762,2.9115,2.8624,2.9046,47155.98,47315.28,46899.75,47232.31,91980910.0,1221.2,1227.08,1220.29,1225.85,3131922222,2776.69,2777.43,2760.82,2774.45,27607195,4.4659,4.5232,4.4437,4.5148,11016.58,11097.1,11006.82,11079.95,365526400.0,3.9052,3.9283,3.8939,3.9175,6743.56,6775.17,6712.47,6754.2,111691732.0
2010-11-08,262.52,262.53,260.86,261.41,4870,395.93,397.75,391.65,394.75,57229.0,165638.0,0.34,0.37,0.2261,0.243,12199.28,12223.3,12160.73,12209.75,7573007,2570.86,2583.3,2566.78,2580.05,1673376900,1.1518,1.1619,1.1504,1.1601,3.4595,3.4918,3.4411,3.4739,2.81,2.8348,2.7957,2.8197,2.9101,2.9357,2.8935,2.9252,47323.22,47374.27,47062.35,47254.29,65029254.0,1223.24,1224.57,1217.55,1223.25,2187350000,2778.06,2787.15,2770.06,2779.69,16969699,4.5352,4.5738,4.5143,4.5516,11080.05,11090.17,11025.19,11047.64,338121408.0,3.9169,3.9385,3.9064,3.931,6746.44,6759.41,6728.35,6750.5,98820667.0
